game_id,season,gameday,away_team
1999_01_MIN_ATL,1999,1999-09-12,MIN
1999_01_KC_CHI,1999,1999-09-12,KC
1999_01_PIT_CLE,1999,1999-09-12,PIT
1999_01_OAK_GB,1999,1999-09-12,OAK
1999_01_BUF_IND,1999,1999-09-12,BUF
1999_01_SF_JAX,1999,1999-09-12,SF
1999_01_CAR_NO,1999,1999-09-12,CAR
1999_01_NE_NYJ,1999,1999-09-12,NE
1999_01_ARI_PHI,1999,1999-09-12,ARI
1999_01_DET_SEA,1999,1999-09-12,DET
1999_01_BAL_STL,1999,1999-09-12,BAL
1999_01_NYG_TB,1999,1999-09-12,NYG
1999_01_CIN_TEN,1999,1999-09-12,CIN
1999_01_DAL_WAS,1999,1999-09-12,DAL
1999_01_MIA_DEN,1999,1999-09-13,MIA
1999_02_PIT_BAL,1999,1999-09-19,PIT
1999_02_NYJ_BUF,1999,1999-09-19,NYJ
1999_02_JAX_CAR,1999,1999-09-19,JAX
1999_02_SEA_CHI,1999,1999-09-19,SEA
1999_02_SD_CIN,1999,1999-09-19,SD
1999_02_GB_DET,1999,1999-09-19,GB
1999_02_DEN_KC,1999,1999-09-19,DEN
1999_02_ARI_MIA,1999,1999-09-19,ARI
1999_02_OAK_MIN,1999,1999-09-19,OAK
1999_02_IND_NE,1999,1999-09-19,IND
1999_02_WAS_NYG,1999,1999-09-19,WAS
1999_02_TB_PHI,1999,1999-09-19,TB
1999_02_NO_SF,1999,1999-09-19,NO
1999_02_CLE_TEN,1999,1999-09-19,CLE
1999_02_ATL_DAL,1999,1999-09-20,ATL
1999_03_CLE_BAL,1999,1999-09-26,CLE
1999_03_PHI_BUF,1999,1999-09-26,PHI
1999_03_CIN_CAR,1999,1999-09-26,CIN
1999_03_MIN_GB,1999,1999-09-26,MIN
1999_03_TEN_JAX,1999,1999-09-26,TEN
1999_03_DET_KC,1999,1999-09-26,DET
1999_03_NYG_NE,1999,1999-09-26,NYG
1999_03_WAS_NYJ,1999,1999-09-26,WAS
1999_03_CHI_OAK,1999,1999-09-26,CHI
1999_03_SEA_PIT,1999,1999-09-26,SEA
1999_03_IND_SD,1999,1999-09-26,IND
1999_03_ATL_STL,1999,1999-09-26,ATL
1999_03_DEN_TB,1999,1999-09-26,DEN
1999_03_SF_ARI,1999,1999-09-27,SF
1999_04_BAL_ATL,1999,1999-10-03,BAL
1999_04_NO_CHI,1999,1999-10-03,NO
1999_04_STL_CIN,1999,1999-10-03,STL
1999_04_NE_CLE,1999,1999-10-03,NE
1999_04_ARI_DAL,1999,1999-10-03,ARI
